id,calificacion,enlaceAlbum,enlaceDrive,fechaRegistro,imagen,nombre,correo_id,usuario_id,puesto
26,5,https://photos.app.goo.gl/Ww7EE9C3hz2zcCGn6,https://drive.google.com/drive/folders/1-Tw6chDFJqbku5ifPAG4BBbLTdK7L-fi?usp=sharing,2025-11-18,"Lust Bound_LustBound.png","Lust Bound",1,1,10
27,2,https://photos.app.goo.gl/TiXzGrm6M5eZJTudA,https://photos.app.goo.gl/TiXzGrm6M5eZJTudA,2025-11-18,"The Neverwhere Tales_TNT.png","The Neverwhere Tales",1,1,32
28,1,https://photos.app.goo.gl/RwAREFgdjAtw7yzg9,https://drive.google.com/drive/folders/1-mdf-w8NGdxslmVIXID7k_oEc9_nvPsD?usp=sharing,2025-11-18,Hillside_Hillside.png,Hillside,1,1,35
29,2,https://photos.app.goo.gl/Mf7QedYYdr6Si2dT9,https://drive.google.com/drive/folders/109UfmyHFc74C2u0_ZYpm5Ib_eyLKuj3X?usp=sharing,2025-11-18,"Shattered Minds_SM.png","Shattered Minds",1,1,33
30,4,https://photos.app.goo.gl/Ux3JdV6VP3kqn5rRA,https://drive.google.com/drive/folders/11-yRid0ZbG26VxqyhEZ7vbMqHwqEdWTI?usp=sharing,2025-11-18,"Where It All Began - S1_WIAB.png","Where It All Began - S1",1,1,13
31,5,https://photos.app.goo.gl/KR8XYxVV73wq2EHv7,https://drive.google.com/drive/folders/1tDEDLB9wjp9NMJy7GIHaxAZyK2aCOwUV?usp=sharing,2025-11-18,"Race of Life_RaceOfLife.png","Race of Life",4,1,7
32,4,https://photos.app.goo.gl/H8oy7JjVdrHiUxT26,https://drive.google.com/drive/folders/1YoQWNFmyS01GYgMYxNjbpEv5DBgtgjK_?usp=sharing,2025-11-18,"Rock the Rim_ROCK.png","Rock the Rim",4,1,24
33,3,https://photos.app.goo.gl/vJvykQTH56PtuDZN7,https://drive.google.com/drive/folders/1n0dwZTYjsNJxDKmhoSnuBMUWg7f2H2LV?usp=sharing,2025-11-18,Fzone_FZ.png,Fzone,4,1,30
34,4,https://photos.app.goo.gl/VFtCJD64Ke97rkxa6,https://drive.google.com/drive/folders/1Pod8djnMQkFyDRDwPkJPce7-EXHZIHE1?usp=sharing,2025-11-18,"Mergin of the Stars_Mergin.png","Mergin of the Stars",4,1,23
35,5,https://photos.app.goo.gl/hus1GoNggsbnfkUw9,https://drive.google.com/drive/folders/1xhkQ6MlFFzi7YOo9CdCl_V-kW3xqEM2j?usp=sharing,2025-11-18,"Midnight paradise_Midnight.png","Midnight paradise",5,1,4
