id,calificacion,caracteristica,imagen,nombre,juego_id,puesto,total,valor1,valor2,valor3
67,NULL,"Sin descripción.",Liza_x-pic_7_869~2.jpg,Liza,3,58,81.75,80,85,80
68,NULL,"Sin descripción.",judy.jpg,Judy,19,150,57.55,90,86,21
69,NULL,"Sin descripción.",beth.jpg,Beth,19,154,56.25,90,90,15
72,NULL,"Sin descripción.",Jordana_jordania.jpg,Jordana,20,14,90.9,97,95,85
73,NULL,"Sin descripción.",Yana_x-ch7yanab-54~2.jpg,Yana,20,38,84.8,90,88,80
74,NULL,"Sin descripción.",Thania_x-ch7tha-26~2.jpg,Thania,20,42,84,90,87,79
75,NULL,"Sin descripción.",Kiara_x-ch7june-63~2.jpg,Kiara,20,51,83.05,90,92,73
76,NULL,"Sin descripción.",Katarina_x-ch7kat-74~2.jpg,Katarina,20,156,53.8,90,83,15
77,NULL,"Sin descripción.",Leslie_lelsie.jpg,Leslie,20,90,76.1,90,85,63
78,NULL,"Sin descripción.",Mary_x-ch7jlma-18~2.jpg,Mary,20,152,57.45,90,87,20
79,NULL,"Sin descripción.",Alora_x-ch7kat-130~2.jpg,Alora,20,52,82.75,90,86,77
80,NULL,"Sin descripción.",Rosa_x-start_27.webp,Rosa,6,169,44.15,75,64,15
81,NULL,"Sin descripción.",Jueza_x-mc_new_depart_35~2.jpg,Jueza,6,159,52.3,75,50,44
82,NULL,"Sin descripción.",Maggie_x-v2s6_11b_maggie_talk~2.jpg,Maggie,31,111,71,80,80,60
83,NULL,"Sin descripción.",Veronica_x-v2s8v_44b~2.jpg,Veronica,31,10,92.25,80,97,94
84,NULL,"Sin descripción.",Jasmine_x-v3s10b_pool_AJN_23b_jasmine~2.jpg,Jasmine,31,63,80.85,80,85,78
85,NULL,"Sin descripción.",Natalya_x-v1bonus_7_natalya_talk~2.jpg,Natalya,31,79,78.5,80,77,79
86,NULL,"Sin descripción.",Allison_x-v3s10c_allison_4a~2.jpg,Allison,31,81,77.5,80,78,76
87,NULL,"Sin descripción.",Riley_Screenshot_2025-09-18-10-16-57-632_dominobeach.hotzone18.com~2.jpg,Riley,17,166,49.25,84,67,20
88,NULL,"Sin descripción.",Zoe_Screenshot_2025-09-18-09-58-40-157_dominobeach.hotzone18.com~2.jpg,Zoe,17,92,75.75,84,72,75
89,NULL,"Sin descripción.",Fiona_Screenshot_2025-09-18-10-32-13-266_dominobeach.hotzone18.com~2.jpg,Fiona,17,122,67.1,70,81,55
